iter	Passed	Remaining
442	31036	39023
443	31095	38939
444	31154	38856
445	31220	38780
446	31278	38695
447	31341	38616
448	31398	38531
449	31460	38451
450	31522	38372
451	31585	38294
452	31647	38214
453	31710	38136
454	31769	38053
455	31829	37971
456	31894	37896
457	31962	37825
458	32053	37779
459	32142	37732
460	32261	37719
461	32359	37683
462	32461	37649
463	32571	37625
464	32704	37627
465	32809	37597
466	32936	37591
467	33086	37611
468	33215	37606
469	33452	37723
470	33616	37756
471	33813	37825
472	34057	37945
473	34272	38032
474	34474	38102
475	34570	38056
476	34665	38008
477	34735	37932
478	34811	37863
479	34890	37797
480	34979	37743
481	35104	37726
482	35187	37663
483	35252	37583
484	35314	37498
485	35380	37419
486	35440	37333
487	35514	37260
488	35595	37197
489	35663	37119
490	35723	37032
491	35784	36948
492	35855	36873
493	35915	36787
494	35972	36698
495	36033	36614
496	36095	36531
497	36151	36442
498	36220	36365
499	36284	36284
500	36346	36201
501	36403	36113
502	36459	36024
503	36524	35944
504	36587	35863
505	36647	35778
506	36711	35697
507	36770	35612
508	36837	35535
509	36905	35458
510	36963	35372
511	37027	35291
512	37093	35213
513	37154	35130
514	37216	35048
515	37275	34964
516	37337	34882
517	37403	34804
518	37470	34727
519	37537	34650
520	37604	34573
521	37675	34499
522	37735	34416
523	37803	34340
524	37872	34265
525	37932	34182
526	38003	34109
527	38076	34038
528	38136	33955
529	38203	33878
530	38277	33807
531	38349	33736
532	38419	33661
533	38485	33584
534	38555	33510
535	38627	33438
536	38695	33363
537	38767	33290
538	38830	33211
539	38892	33130
540	38962	33056
541	39020	32972
542	39082	32892
543	39142	32810
544	39199	32726
545	39260	32645
546	39318	32561
547	39386	32486
548	39445	32404
549	39519	32333
550	39584	32257
551	39653	32182
552	39718	32105
553	39785	32029
554	39844	31947
555	39915	31874
556	39975	31793
557	40033	31711
558	40093	31629
559	40155	31550
560	40225	31478
561	40283	31395
562	40348	31318
563	40407	31237
564	40465	31154
565	40523	31072
566	40585	30993
567	40641	30910
568	40704	30832
569	40767	30754
570	40825	30672
571	40884	30592
572	40947	30514
573	41005	30432
574	41061	30350
575	41120	30269
576	41176	30186
577	41231	30103
578	41284	30018
579	41346	29940
580	41405	29860
581	41464	29780
582	41522	29699
583	41584	29621
584	41642	29541
585	41705	29464
586	41765	29385
587	41827	29307
588	41885	29227
589	41949	29151
590	42029	29086
591	42113	29023
592	42218	28976
593	42318	28924
594	42441	28888
595	42545	28839
596	42644	28786
597	42714	28714
598	42787	28644
599	42868	28578
600	42938	28506
601	42997	28427
602	43094	28372
603	43238	28348
604	43413	28344
605	43579	28333
606	43772	28340
607	43959	28342
608	44182	28366
609	44335	28345
610	44502	28333
611	44617	28287
612	44690	28214
613	44752	28134
614	44810	28052
615	44879	27976
616	44944	27899
617	45005	27818
618	45066	27738
619	45123	27656
620	45197	27584
621	45258	27504
622	45314	27421
623	45373	27340
624	45432	27259
625	45493	27179
626	45549	27097
627	45615	27020
628	45675	26940
629	45729	26856
630	45781	26772
631	45835	26689
632	45893	26607
633	45951	26527
634	46006	26444
635	46064	26363
636	46116	26280
637	46172	26197
638	46231	26118
639	46293	26040
640	46356	25962
641	46412	25881
642	46470	25800
643	46523	25717
644	46579	25636
645	46638	25557
646	46704	25481
647	46760	25400
648	46824	25323
649	46886	25246
650	46948	25168
651	47001	25086
652	47056	25005
653	47109	24923
654	47168	24844
655	47231	24767
656	47295	24691
657	47355	24613
658	47410	24532
659	47468	24453
660	47535	24379
661	47593	24300
662	47650	24220
663	47704	24139
664	47761	24060
665	47822	23982
666	47880	23904
667	47941	23827
668	48000	23749
669	48056	23669
670	48115	23591
671	48176	23514
672	48235	23436
673	48290	23357
674	48351	23280
675	48405	23200
676	48462	23121
677	48523	23045
678	48581	22966
679	48642	22890
680	48699	22812
681	48759	22735
682	48821	22659
683	48877	22580
684	48935	22503
685	48998	22427
686	49058	22351
687	49119	22275
688	49183	22200
689	49241	22123
690	49298	22045
691	49356	21967
692	49410	21888
693	49464	21810
694	49517	21730
695	49570	21651
696	49625	21573
697	49679	21494
698	49741	21419
699	49801	21343
700	49857	21265
701	49914	21188
702	49971	21111
703	50027	21034
704	50085	20957
705	50145	20881
706	50203	20805
707	50258	20727
708	50314	20651
709	50367	20572
710	50434	20500
711	50492	20423
712	50547	20346
713	50608	20271
714	50666	20195
715	50731	20122
716	50789	20046
717	50845	19970
718	50901	19893
719	50965	19820
720	51028	19746
721	51087	19670
722	51150	19597
723	51207	19521
724	51269	19446
725	51326	19371
726	51387	19296
727	51445	19221
728	51502	19145
729	51558	19069
730	51612	18992
731	51667	18916
732	51727	18842
733	51785	18766
734	51868	18700
735	51970	18641
736	52062	18578
737	52148	18513
738	52262	18458
739	52372	18401
740	52447	18331
741	52512	18258
742	52572	18184
743	52639	18112
744	52717	18044
745	52776	17969
746	52850	17899
747	52963	17843
748	53107	17796
749	53224	17741
750	53337	17684
751	53485	17638
752	53648	17597
753	53832	17563
754	53980	17516
755	54097	17459
756	54260	17417
757	54412	17371
758	54571	17327
759	54644	17256
760	54703	17180
761	54759	17103
762	54816	17026
763	54871	16949
764	54929	16873
765	55010	16804
766	55250	16784
767	55399	16735
768	55482	16666
769	55545	16591
770	55601	16514
771	55668	16440
772	55732	16366
773	55794	16291
774	55860	16217
775	55918	16141
776	55974	16064
777	56030	15988
778	56090	15912
779	56146	15836
780	56203	15760
781	56267	15685
782	56323	15609
783	56385	15534
784	56443	15459
785	56500	15382
786	56560	15307
787	56614	15231
788	56667	15154
789	56721	15077
790	56779	15002
791	56844	14928
792	56902	14853
793	56964	14779
794	57019	14703
795	57074	14627
796	57132	14552
797	57196	14478
798	57249	14401
799	57301	14325
800	57357	14249
801	57414	14174
802	57471	14099
803	57530	14024
804	57589	13950
805	57643	13874
806	57701	13799
807	57759	13724
808	57815	13649
809	57877	13576
810	57928	13499
811	57982	13424
812	58040	13350
813	58101	13276
814	58158	13201
815	58217	13127
816	58279	13053
817	58336	12979
818	58396	12905
819	58467	12834
820	58526	12760
821	58581	12685
822	58638	12611
823	58694	12536
824	58750	12462
825	58803	12387
826	58862	12313
827	58919	12239
828	58973	12164
829	59027	12089
830	59083	12015
831	59145	11942
832	59202	11868
833	59258	11794
834	59315	11721
835	59375	11647
836	59432	11574
837	59491	11500
838	59549	11427
839	59609	11354
840	59671	11281
841	59733	11208
842	59795	11136
843	59853	11063
844	59934	10993
845	59997	10921
846	60073	10851
847	60143	10780
848	60202	10707
849	60259	10633
850	60316	10560
851	60375	10487
852	60431	10414
853	60484	10340
854	60546	10268
855	60603	10194
856	60661	10121
857	60718	10048
858	60775	9975
859	60838	9903
860	60896	9831
861	60954	9758
862	61012	9685
863	61070	9612
864	61124	9539
865	61185	9467
866	61249	9395
867	61309	9323
868	61366	9250
869	61424	9178
870	61483	9106
871	61548	9034
872	61615	8963
873	61672	8890
874	61739	8819
875	61819	8750
876	61917	8683
877	62003	8615
878	62104	8549
879	62214	8483
880	62326	8418
881	62393	8347
882	62452	8275
883	62511	8202
884	62572	8130
885	62633	8058
886	62714	7989
887	62786	7918
888	62858	7848
889	62921	7776
890	62981	7704
891	63039	7632
892	63098	7560
893	63157	7488
894	63219	7416
895	63280	7345
896	63343	7273
897	63439	7205
898	63574	7142
899	63813	7090
900	63994	7031
901	64137	6968
902	64346	6912
903	64506	6850
904	64734	6795
905	64886	6732
906	64979	6662
907	65052	6591
908	65114	6518
909	65190	6447
910	65258	6375
911	65322	6303
912	65392	6231
913	65458	6159
914	65520	6086
915	65574	6013
916	65630	5940
917	65689	5867
918	65743	5794
919	65806	5722
920	65867	5649
921	65927	5577
922	65991	5505
923	66050	5432
924	66115	5360
925	66190	5289
926	66252	5217
927	66308	5144
928	66371	5072
929	66424	4999
930	66481	4927
931	66536	4854
932	66592	4782
933	66656	4710
934	66715	4637
935	66776	4565
936	66836	4493
937	66896	4421
938	66954	4349
939	67011	4277
940	67072	4205
941	67127	4133
942	67187	4061
943	67249	3989
944	67315	3917
945	67388	3846
946	67457	3775
947	67521	3703
948	67579	3631
949	67635	3559
950	67691	3487
951	67745	3415
952	67797	3343
953	67854	3271
954	67911	3200
955	67966	3128
956	68022	3056
957	68083	2984
958	68145	2913
959	68207	2841
960	68277	2770
961	68330	2699
962	68385	2627
963	68453	2556
964	68521	2485
965	68598	2414
966	68654	2342
967	68718	2271
968	68774	2200
969	68837	2128
970	68895	2057
971	68957	1986
972	69012	1915
973	69071	1843
974	69131	1772
975	69187	1701
976	69249	1630
977	69307	1559
978	69360	1487
979	69418	1416
980	69477	1345
981	69535	1274
982	69594	1203
983	69664	1132
984	69724	1061
985	69789	990
986	69845	919
987	69902	849
988	69956	778
989	70013	707
990	70079	636
991	70138	565
992	70211	494
993	70281	424
994	70369	353
995	70429	282
996	70493	212
997	70554	141
998	70612	70
999	70669	0
